Unnamed: 0
"Пахота зяби под мн тр
По Пу 26/488
Отд 12 26/221

Предп культ под оз пш
По Пу 215/1015
Отд 12 128/317
Отд 16 123/529

2-е диск сах св под пш
По Пу 22/627
Отд 11 22/217

2-е диск сои под оз пш
По Пу 45/1907
Отд 12 45/299"
"Пахота зяби под мн тр
По Пу 26/514
Отд 12 26/247

Пахота зяби под сою
По Пу 13/1351
Отд 16 13/731

Предп культ под оз пш
По Пу 56/1071
Отд 16 56/585

Дисков сах св
По Пу 85/870
Отд 17 85/168

2-е диск сах св под пш
По Пу 123/750
Отд 12 123/450

2-е диск сои под оз пш
По Пу 82/1989
Отд 11 82/993"
"Пахота зяби под сою
По Пу 29/1367
Отд 16 29/760

Предп культ под оз пш
По Пу 146/1217
Отд 11 146/233

Дисков сах св
По Пу 64/934
Отд 17 64/232

2-е диск сах св под пш
По Пу 25/775
Отд 12 25/475"
"12.10
Внесение мин удобрений под оз пшеницу 2025 г ПУ Юг 149/7264
Отд 17-149/1443"
"Пахота зяби под сою
По Пу 15/1382
Отд 16 15/775

Пахота зяби под мн тр
По Пу 13/527
Отд 12 13/260

2-е диск сои под пшен
По Пу 87/2076
Отд 12 87/386

2-е диск сах св под пш
По Пу 149/899
Отд 17 149/232

3-е диск подсол под пш
По Пу 47/949
Отд 11 47/47

Предп культ под оз пш
По Пу 95/1312
Отд 11 95/328"
"Пахота зяби под мн тр
По Пу 13/540
Отд 12 13/273

Диск сах св
По Пу 70/1004
Отд 17 70/302

Предп культ под оз пш
По Пу 91/1403
Отд 11 45/373
Отд 12 46/363"
"15.10
Внесение мин удобрений под оз пшеницу 2025 г ПУ Юг 117/7381
Отд 17-117/1560"
"15.10
Внесение противозлакового гербецида на оз рапсе ПУ Юг 88/384
Отд 12- 88/325"
"Пахота зяби под мн тр
По Пу 26/566
Отд 12 26/299

Предп культ под оз пш
По Пу 247/1650
Отд 11 161/534
Отд 12 86/449

Диск сах св
По Пу 47/1051
Отд 17 47/349

2-е диск сах св под пш
По Пу 23/922
Отд 17 23/255

Выравн зяби под мн тр
По Пу 48/337
Отд 12 48/70"
"Пахота зяби под мн тр
По Пу 13/579
Отд 12 13/312

2-е дисков сах св
По Пу 35/957
Отд 17 35/290

Выравн зяби под мн тр
По Пу 101/438
Отд 12 101/171"
"16.10
Внесение противозлакового гербецида на оз рапсе ПУ Юг 60/444
Отд 11-60/119"
"Пахота зяби под сою 
По ПУ 7/1402
Отд 17 7/141

Вырав-ие зяби под кук/силос
По ПУ 16/16
Отд 12 16/16

Вырав-ие зяби под сах/свёклу
По ПУ 67/912
Отд 12 67/376

2-ое диск-ие сах/свёкла 
По ПУ 59/1041
Отд 17 59/349"
"Пахота зяби под сою
По Пу 5/1427
Отд 17 5/166

Пахота зяби под кук с
По Пу 26/445
Отд 11 26/180

2-е диск сах св под пш
По Пу 41/1142
Отд 17 41/450

Выравн зяби под сах св
По Пу 35/1269
Отд 11 35/400"
"Пахота зяби под сою
По Пу 13/1440
Отд 17 13/179

Пахота зяби под кук с
По Пу 26/471
Отд 11 26/206

Дисков сах св
По Пу 85/1237
Отд 17 85/535

Выравн зяби под сах св
По Пу 45/1314
Отд 11 10/410
Отд 12 35/661

Выравн зяби под подс
Отд 11 41/41"
"15.11 Мир
Пахота зяби под кукурузу 7 га день, 569 га от начала, 84%, 103 га остаток.
Пахота зяби под сою 50 га день, 849 га от начала, 75%, 290 га остаток.
Работало 4 агрегата.
Выравнивание зяби под сахарную свёклу 43 га день, 917 га от начала, 96 %, 35 га остаток.
Работал 1 агрегат."
"ТСК 
Выравнивание зяби под сою 199 га/ с нарастающим 533 га (8%) Остаток 5564 га
Осадки 2 мм"
"Пахота зяби под сою
По Пу 11/1451
Отд 17 11/190

Дисков сах св
По Пу 118/1355
Отд 17 118/653

2-е диск сах св под пш
По Пу 35/1177
Отд 17 35/485

Выравн зяби под сах св
По Пу 51/1365
Отд 11 51/461

Выравн зяби под подс
Отд 11 47/89"
"23.10
Внесение мин удобрений под оз пшеницу 2025 г ПУ Юг 216/7698
Отд 17-216/1877"
"23.10
Внесение противозлакового гербецида на оз рапсе ПУ Юг 134/578
Отд 11-134/253"
"Пахота зяби под сою
По Пу 13/1464
Отд 17 13/203

Дисков сах св
По Пу 36/1391
Отд 16 25/25
Отд 17 11/664

2-е диск сах св под пш
По Пу 111/1288
Отд 17 111/596

Выравн зяби под сах св
По Пу 30/1395
Отд 11 30/491"
"ТСК 
Выравнивание зяби под сою 187 га/ с нарастающим 740 га (13%) Остаток 5357 га
Осадки 1 мм"
"19.11 Мир
Пахота зяби под кукурузу 8 га день, 672 га от начала, 100%
