"annotation_id","annotator","created_at","id","label","lead_time","postproc_data","updated_at"
1,"1","2025-04-12T14:34:52.449070Z",1,"[{""start"":0,""end"":11,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":16,""end"":33,""text"":""многолетние травы"",""labels"":[""plant""]},{""start"":56,""end"":58,""text"":""26"",""labels"":[""perDay""]},{""start"":85,""end"":88,""text"":""488"",""labels"":[""perOperation""]},{""start"":152,""end"":173,""text"":""предпосевная культура"",""labels"":[""operation""]},{""start"":178,""end"":192,""text"":""озимая пшеница"",""labels"":[""plant""]},{""start"":215,""end"":218,""text"":""215"",""labels"":[""perDay""]},{""start"":245,""end"":249,""text"":""1015"",""labels"":[""perOperation""]},{""start"":377,""end"":394,""text"":""второе дискование"",""labels"":[""operation""]},{""start"":445,""end"":447,""text"":""22"",""labels"":[""perDay""]},{""start"":474,""end"":477,""text"":""627"",""labels"":[""perOperation""]},{""start"":541,""end"":558,""text"":""второе дискование"",""labels"":[""operation""]},{""start"":567,""end"":581,""text"":""озимая пшеница"",""labels"":[""plant""]},{""start"":604,""end"":606,""text"":""45"",""labels"":[""perDay""]},{""start"":633,""end"":637,""text"":""1907"",""labels"":[""perOperation""]},{""start"":415,""end"":422,""text"":""пшеница"",""labels"":[""plant""]},{""start"":89,""end"":101,""text"":""отделение 12"",""labels"":[""department""]},{""start"":250,""end"":262,""text"":""отделение 12"",""labels"":[""department""]},{""start"":313,""end"":325,""text"":""отделение 16"",""labels"":[""department""]},{""start"":478,""end"":490,""text"":""отделение 11"",""labels"":[""department""]},{""start"":638,""end"":650,""text"":""отделение 12"",""labels"":[""department""]}]",1042.557,"пахота зяби под многолетние травы
по пу площадь за день 26 площадь с начала операции 488
отделение 12 площадь за день 26 площадь с начала операции 221

предпосевная культура под озимая пшеница
по пу площадь за день 215 площадь с начала операции 1015
отделение 12 площадь за день 128 площадь с начала операции 317
отделение 16 площадь за день 123 площадь с начала операции 529

второе дискование сахарная свекла под пшеница
по пу площадь за день 22 площадь с начала операции 627
отделение 11 площадь за день 22 площадь с начала операции 217

второе дискование сои под озимая пшеница
по пу площадь за день 45 площадь с начала операции 1907
отделение 12 площадь за день 45 площадь с начала операции 299","2025-04-12T16:26:14.396145Z"
2,"1","2025-04-12T15:43:38.933937Z",2,"[{""start"":0,""end"":11,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":152,""end"":163,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":291,""end"":312,""text"":""предпосевная культура"",""labels"":[""operation""]},{""start"":16,""end"":33,""text"":""многолетние травы"",""labels"":[""plant""]},{""start"":168,""end"":171,""text"":""сою"",""labels"":[""plant""]},{""start"":223,""end"":227,""text"":""1351"",""labels"":[""perOperation""]},{""start"":451,""end"":461,""text"":""дискование"",""labels"":[""operation""]},{""start"":596,""end"":613,""text"":""второе дискование"",""labels"":[""operation""]},{""start"":762,""end"":779,""text"":""второе дискование"",""labels"":[""operation""]},{""start"":317,""end"":331,""text"":""озимая пшеница"",""labels"":[""plant""]},{""start"":168,""end"":171,""text"":""сою"",""labels"":[""plant""]},{""start"":500,""end"":502,""text"":""85"",""labels"":[""perDay""]},{""start"":194,""end"":196,""text"":""13"",""labels"":[""perDay""]},{""start"":354,""end"":356,""text"":""56"",""labels"":[""perDay""]},{""start"":664,""end"":667,""text"":""123"",""labels"":[""perDay""]},{""start"":825,""end"":827,""text"":""82"",""labels"":[""perDay""]},{""start"":383,""end"":387,""text"":""1071"",""labels"":[""perOperation""]},{""start"":529,""end"":532,""text"":""870"",""labels"":[""perOperation""]},{""start"":694,""end"":697,""text"":""750"",""labels"":[""perOperation""]},{""start"":854,""end"":858,""text"":""1989"",""labels"":[""perOperation""]},{""start"":56,""end"":58,""text"":""26"",""labels"":[""perDay""]},{""start"":85,""end"":88,""text"":""514"",""labels"":[""perOperation""]},{""start"":89,""end"":101,""text"":""отделение 12"",""labels"":[""department""]},{""start"":228,""end"":240,""text"":""отделение 16"",""labels"":[""department""]},{""start"":388,""end"":400,""text"":""отделение 16"",""labels"":[""department""]},{""start"":533,""end"":545,""text"":""отделение 17"",""labels"":[""department""]},{""start"":698,""end"":710,""text"":""отделение 12"",""labels"":[""department""]},{""start"":859,""end"":871,""text"":""отделение 11"",""labels"":[""department""]},{""start"":462,""end"":477,""text"":""сахарная свекла"",""labels"":[""plant""]},{""start"":634,""end"":641,""text"":""пшеница"",""labels"":[""plant""]},{""start"":788,""end"":802,""text"":""озимая пшеница"",""labels"":[""plant""]}]",4101.639,"пахота зяби под многолетние травы
по пу площадь за день 26 площадь с начала операции 514
отделение 12 площадь за день 26 площадь с начала операции 247

пахота зяби под сою
по пу площадь за день 13 площадь с начала операции 1351
отделение 16 площадь за день 13 площадь с начала операции 731

предпосевная культура под озимая пшеница
по пу площадь за день 56 площадь с начала операции 1071
отделение 16 площадь за день 56 площадь с начала операции 585

дискование сахарная свекла
по пу площадь за день 85 площадь с начала операции 870
отделение 17 площадь за день 85 площадь с начала операции 168

второе дискование сахарная свекла под пшеница
по пу площадь за день 123 площадь с начала операции 750
отделение 12 площадь за день 123 площадь с начала операции 450

второе дискование сои под озимая пшеница
по пу площадь за день 82 площадь с начала операции 1989
отделение 11 площадь за день 82 площадь с начала операции 993","2025-04-12T16:26:01.095915Z"
3,"1","2025-04-12T15:45:37.420267Z",3,"[{""start"":0,""end"":11,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":139,""end"":160,""text"":""предпосевная культура"",""labels"":[""operation""]},{""start"":301,""end"":311,""text"":""дискование"",""labels"":[""operation""]},{""start"":446,""end"":463,""text"":""второе дискование"",""labels"":[""operation""]},{""start"":42,""end"":44,""text"":""29"",""labels"":[""perDay""]},{""start"":202,""end"":205,""text"":""146"",""labels"":[""perDay""]},{""start"":350,""end"":352,""text"":""64"",""labels"":[""perDay""]},{""start"":514,""end"":516,""text"":""25"",""labels"":[""perDay""]},{""start"":71,""end"":75,""text"":""1367"",""labels"":[""perOperation""]},{""start"":232,""end"":236,""text"":""1217"",""labels"":[""perOperation""]},{""start"":379,""end"":382,""text"":""934"",""labels"":[""perOperation""]},{""start"":543,""end"":546,""text"":""775"",""labels"":[""perOperation""]},{""start"":76,""end"":88,""text"":""отделение 16"",""labels"":[""department""]},{""start"":237,""end"":249,""text"":""отделение 11"",""labels"":[""department""]},{""start"":383,""end"":395,""text"":""отделение 17"",""labels"":[""department""]},{""start"":547,""end"":559,""text"":""отделение 12"",""labels"":[""department""]},{""start"":16,""end"":19,""text"":""сою"",""labels"":[""plant""]},{""start"":165,""end"":179,""text"":""озимая пшеница"",""labels"":[""plant""]},{""start"":312,""end"":327,""text"":""сахарная свекла"",""labels"":[""plant""]},{""start"":484,""end"":491,""text"":""пшеница"",""labels"":[""plant""]}]",160.433,"пахота зяби под сою
по пу площадь за день 29 площадь с начала операции 1367
отделение 16 площадь за день 29 площадь с начала операции 760

предпосевная культура под озимая пшеница
по пу площадь за день 146 площадь с начала операции 1217
отделение 11 площадь за день 146 площадь с начала операции 233

дискование сахарная свекла
по пу площадь за день 64 площадь с начала операции 934
отделение 17 площадь за день 64 площадь с начала операции 232

второе дискование сахарная свекла под пшеница
по пу площадь за день 25 площадь с начала операции 775
отделение 12 площадь за день 25 площадь с начала операции 475","2025-04-12T16:26:39.270091Z"
4,"1","2025-04-12T15:47:41.356635Z",4,"[{""start"":6,""end"":36,""text"":""внесение минеральные удобрений"",""labels"":[""operation""]},{""start"":0,""end"":5,""text"":""12.10"",""labels"":[""data""]},{""start"":85,""end"":88,""text"":""149"",""labels"":[""perDay""]},{""start"":115,""end"":119,""text"":""7264"",""labels"":[""perOperation""]},{""start"":41,""end"":55,""text"":""озимая пшеницу"",""labels"":[""plant""]},{""start"":120,""end"":132,""text"":""отделение 17"",""labels"":[""department""]}]",180.348,"12.10
внесение минеральные удобрений под озимая пшеницу 2025 г пу юг площадь за день 149 площадь с начала операции 7264
отделение 17-площадь за день 149 площадь с начала операции 1443","2025-04-12T16:27:38.885397Z"
5,"1","2025-04-12T15:51:13.217931Z",5,"[{""start"":0,""end"":11,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":139,""end"":150,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":291,""end"":308,""text"":""второе дискование"",""labels"":[""operation""]},{""start"":444,""end"":461,""text"":""второе дискование"",""labels"":[""operation""]},{""start"":610,""end"":624,""text"":""3-е дискование"",""labels"":[""operation""]},{""start"":761,""end"":782,""text"":""предпосевная культура"",""labels"":[""operation""]},{""start"":71,""end"":75,""text"":""1382"",""labels"":[""perOperation""]},{""start"":224,""end"":227,""text"":""527"",""labels"":[""perOperation""]},{""start"":376,""end"":380,""text"":""2076"",""labels"":[""perOperation""]},{""start"":542,""end"":545,""text"":""899"",""labels"":[""perOperation""]},{""start"":695,""end"":698,""text"":""949"",""labels"":[""perOperation""]},{""start"":853,""end"":857,""text"":""1312"",""labels"":[""perOperation""]},{""start"":16,""end"":19,""text"":""сою"",""labels"":[""plant""]},{""start"":155,""end"":172,""text"":""многолетние травы"",""labels"":[""plant""]},{""start"":317,""end"":324,""text"":""пшеница"",""labels"":[""plant""]},{""start"":482,""end"":489,""text"":""пшеница"",""labels"":[""plant""]},{""start"":636,""end"":643,""text"":""пшеница"",""labels"":[""plant""]},{""start"":787,""end"":801,""text"":""озимая пшеница"",""labels"":[""plant""]},{""start"":347,""end"":349,""text"":""87"",""labels"":[""perDay""]},{""start"":195,""end"":197,""text"":""13"",""labels"":[""perDay""]},{""start"":42,""end"":44,""text"":""15"",""labels"":[""perDay""]},{""start"":824,""end"":826,""text"":""95"",""labels"":[""perDay""]},{""start"":666,""end"":668,""text"":""47"",""labels"":[""perDay""]},{""start"":512,""end"":515,""text"":""149"",""labels"":[""perDay""]},{""start"":546,""end"":558,""text"":""отделение 17"",""labels"":[""department""]},{""start"":699,""end"":711,""text"":""отделение 11"",""labels"":[""department""]},{""start"":858,""end"":870,""text"":""отделение 11"",""labels"":[""department""]},{""start"":228,""end"":240,""text"":""отделение 12"",""labels"":[""department""]},{""start"":76,""end"":88,""text"":""отделение 16"",""labels"":[""department""]}]",261.539,"пахота зяби под сою
по пу площадь за день 15 площадь с начала операции 1382
отделение 16 площадь за день 15 площадь с начала операции 775

пахота зяби под многолетние травы
по пу площадь за день 13 площадь с начала операции 527
отделение 12 площадь за день 13 площадь с начала операции 260

второе дискование сои под пшеница
по пу площадь за день 87 площадь с начала операции 2076
отделение 12 площадь за день 87 площадь с начала операции 386

второе дискование сахарная свекла под пшеница
по пу площадь за день 149 площадь с начала операции 899
отделение 17 площадь за день 149 площадь с начала операции 232

3-е дискование подсол под пшеница
по пу площадь за день 47 площадь с начала операции 949
отделение 11 площадь за день 47 площадь с начала операции 47

предпосевная культура под озимая пшеница
по пу площадь за день 95 площадь с начала операции 1312
отделение 11 площадь за день 95 площадь с начала операции 328","2025-04-12T16:29:03.003710Z"
6,"1","2025-04-12T15:58:04.040659Z",6,"[{""start"":0,""end"":11,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":152,""end"":162,""text"":""дискование"",""labels"":[""operation""]},{""start"":298,""end"":319,""text"":""предпосевная культура"",""labels"":[""operation""]},{""start"":324,""end"":338,""text"":""озимая пшеница"",""labels"":[""plant""]},{""start"":16,""end"":33,""text"":""многолетние травы"",""labels"":[""plant""]},{""start"":56,""end"":58,""text"":""13"",""labels"":[""perDay""]},{""start"":201,""end"":203,""text"":""70"",""labels"":[""perDay""]},{""start"":361,""end"":363,""text"":""91"",""labels"":[""perDay""]},{""start"":390,""end"":394,""text"":""1403"",""labels"":[""perOperation""]},{""start"":230,""end"":234,""text"":""1004"",""labels"":[""perOperation""]},{""start"":85,""end"":88,""text"":""540"",""labels"":[""perOperation""]},{""start"":163,""end"":178,""text"":""сахарная свекла"",""labels"":[""plant""]},{""start"":89,""end"":101,""text"":""отделение 12"",""labels"":[""department""]},{""start"":235,""end"":247,""text"":""отделение 17"",""labels"":[""department""]},{""start"":395,""end"":407,""text"":""отделение 11"",""labels"":[""department""]},{""start"":457,""end"":469,""text"":""отделение 12"",""labels"":[""department""]}]",444.796,"пахота зяби под многолетние травы
по пу площадь за день 13 площадь с начала операции 540
отделение 12 площадь за день 13 площадь с начала операции 273

дискование сахарная свекла
по пу площадь за день 70 площадь с начала операции 1004
отделение 17 площадь за день 70 площадь с начала операции 302

предпосевная культура под озимая пшеница
по пу площадь за день 91 площадь с начала операции 1403
отделение 11 площадь за день 45 площадь с начала операции 373
отделение 12 площадь за день 46 площадь с начала операции 363","2025-04-12T16:30:22.767985Z"
7,"1","2025-04-12T15:58:57.592034Z",7,"[{""start"":0,""end"":5,""text"":""15.10"",""labels"":[""data""]},{""start"":6,""end"":36,""text"":""внесение минеральные удобрений"",""labels"":[""operation""]},{""start"":41,""end"":55,""text"":""озимая пшеницу"",""labels"":[""plant""]},{""start"":85,""end"":88,""text"":""117"",""labels"":[""perDay""]},{""start"":115,""end"":119,""text"":""7381"",""labels"":[""perOperation""]},{""start"":120,""end"":132,""text"":""отделение 17"",""labels"":[""department""]}]",68.017,"15.10
внесение минеральные удобрений под озимая пшеницу 2025 г пу юг площадь за день 117 площадь с начала операции 7381
отделение 17-площадь за день 117 площадь с начала операции 1560","2025-04-12T16:31:47.287539Z"
8,"1","2025-04-12T16:00:59.190180Z",8,"[{""start"":0,""end"":5,""text"":""15.10"",""labels"":[""data""]},{""start"":45,""end"":57,""text"":""озимая рапсе"",""labels"":[""plant""]},{""start"":80,""end"":82,""text"":""88"",""labels"":[""perDay""]},{""start"":109,""end"":112,""text"":""384"",""labels"":[""perOperation""]},{""start"":6,""end"":41,""text"":""внесение противозлакового гербецида"",""labels"":[""operation""]},{""start"":113,""end"":125,""text"":""отделение 12"",""labels"":[""department""]}]",148.40300000000002,"15.10
внесение противозлакового гербецида на озимая рапсе пу юг площадь за день 88 площадь с начала операции 384
отделение 12- площадь за день 88 площадь с начала операции 325","2025-04-12T16:31:40.496911Z"
9,"1","2025-04-12T16:03:03.044173Z",9,"[{""start"":0,""end"":11,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":152,""end"":173,""text"":""предпосевная культура"",""labels"":[""operation""]},{""start"":376,""end"":386,""text"":""дискование"",""labels"":[""operation""]},{""start"":387,""end"":402,""text"":""сахарная свекла"",""labels"":[""plant""]},{""start"":178,""end"":192,""text"":""озимая пшеница"",""labels"":[""plant""]},{""start"":16,""end"":33,""text"":""многолетние травы"",""labels"":[""plant""]},{""start"":522,""end"":539,""text"":""второе дискование"",""labels"":[""operation""]},{""start"":686,""end"":703,""text"":""выравнивание зяби"",""labels"":[""operation""]},{""start"":708,""end"":725,""text"":""многолетние травы"",""labels"":[""plant""]},{""start"":748,""end"":750,""text"":""48"",""labels"":[""perDay""]},{""start"":777,""end"":780,""text"":""337"",""labels"":[""perOperation""]},{""start"":56,""end"":58,""text"":""26"",""labels"":[""perDay""]},{""start"":215,""end"":218,""text"":""247"",""labels"":[""perDay""]},{""start"":425,""end"":427,""text"":""47"",""labels"":[""perDay""]},{""start"":590,""end"":592,""text"":""23"",""labels"":[""perDay""]},{""start"":85,""end"":88,""text"":""566"",""labels"":[""perOperation""]},{""start"":245,""end"":249,""text"":""1650"",""labels"":[""perOperation""]},{""start"":454,""end"":458,""text"":""1051"",""labels"":[""perOperation""]},{""start"":619,""end"":622,""text"":""922"",""labels"":[""perOperation""]},{""start"":560,""end"":567,""text"":""пшеница"",""labels"":[""plant""]},{""start"":89,""end"":101,""text"":""отделение 12"",""labels"":[""department""]},{""start"":250,""end"":262,""text"":""отделение 11"",""labels"":[""department""]},{""start"":313,""end"":325,""text"":""отделение 12"",""labels"":[""department""]},{""start"":459,""end"":471,""text"":""отделение 17"",""labels"":[""department""]},{""start"":623,""end"":635,""text"":""отделение 17"",""labels"":[""department""]},{""start"":781,""end"":793,""text"":""отделение 12"",""labels"":[""department""]}]",490.048,"пахота зяби под многолетние травы
по пу площадь за день 26 площадь с начала операции 566
отделение 12 площадь за день 26 площадь с начала операции 299

предпосевная культура под озимая пшеница
по пу площадь за день 247 площадь с начала операции 1650
отделение 11 площадь за день 161 площадь с начала операции 534
отделение 12 площадь за день 86 площадь с начала операции 449

дискование сахарная свекла
по пу площадь за день 47 площадь с начала операции 1051
отделение 17 площадь за день 47 площадь с начала операции 349

второе дискование сахарная свекла под пшеница
по пу площадь за день 23 площадь с начала операции 922
отделение 17 площадь за день 23 площадь с начала операции 255

выравнивание зяби под многолетние травы
по пу площадь за день 48 площадь с начала операции 337
отделение 12 площадь за день 48 площадь с начала операции 70","2025-04-12T16:32:14.054361Z"
10,"1","2025-04-12T16:07:28.169287Z",10,"[{""start"":0,""end"":11,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":152,""end"":169,""text"":""второе дискование"",""labels"":[""operation""]},{""start"":304,""end"":321,""text"":""выравнивание зяби"",""labels"":[""operation""]},{""start"":16,""end"":33,""text"":""многолетние травы"",""labels"":[""plant""]},{""start"":170,""end"":185,""text"":""сахарная свекла"",""labels"":[""plant""]},{""start"":326,""end"":343,""text"":""многолетние травы"",""labels"":[""plant""]},{""start"":366,""end"":369,""text"":""101"",""labels"":[""perDay""]},{""start"":208,""end"":210,""text"":""35"",""labels"":[""perDay""]},{""start"":56,""end"":58,""text"":""13"",""labels"":[""perDay""]},{""start"":85,""end"":88,""text"":""579"",""labels"":[""perOperation""]},{""start"":237,""end"":240,""text"":""957"",""labels"":[""perOperation""]},{""start"":396,""end"":399,""text"":""438"",""labels"":[""perOperation""]},{""start"":89,""end"":101,""text"":""отделение 12"",""labels"":[""department""]},{""start"":241,""end"":253,""text"":""отделение 17"",""labels"":[""department""]},{""start"":400,""end"":412,""text"":""отделение 12"",""labels"":[""department""]}]",177.716,"пахота зяби под многолетние травы
по пу площадь за день 13 площадь с начала операции 579
отделение 12 площадь за день 13 площадь с начала операции 312

второе дискование сахарная свекла
по пу площадь за день 35 площадь с начала операции 957
отделение 17 площадь за день 35 площадь с начала операции 290

выравнивание зяби под многолетние травы
по пу площадь за день 101 площадь с начала операции 438
отделение 12 площадь за день 101 площадь с начала операции 171","2025-04-12T16:34:08.338334Z"
