"Unnamed: 0","annotation_id","annotator","created_at","id","initial","label","lead_time","postproc_data","updated_at"
0,2,"1","2025-04-17T13:50:55.096111Z",413,"Пахота зяби под мн тр
По Пу 26/488
Отд 12 26/221

Предп культ под оз пш
По Пу 215/1015
Отд 12 128/317
Отд 16 123/529

2-е диск сах св под пш
По Пу 22/627
Отд 11 22/217

2-е диск сои под оз пш
По Пу 45/1907
Отд 12 45/299","[{""start"":0,""end"":11,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":16,""end"":33,""text"":""многолетние травы"",""labels"":[""plant""]},{""start"":34,""end"":36,""text"":""по"",""labels"":[""department""]},{""start"":139,""end"":141,""text"":""по"",""labels"":[""department""]},{""start"":288,""end"":290,""text"":""по"",""labels"":[""department""]},{""start"":393,""end"":395,""text"":""по"",""labels"":[""department""]},{""start"":45,""end"":47,""text"":""26"",""labels"":[""perDay""]},{""start"":58,""end"":61,""text"":""488"",""labels"":[""perOperation""]},{""start"":98,""end"":119,""text"":""предпосевная культура"",""labels"":[""operation""]},{""start"":242,""end"":275,""text"":""второе дискование сахарная свекла"",""labels"":[""operation""]},{""start"":352,""end"":373,""text"":""второе дискование сои"",""labels"":[""operation""]},{""start"":124,""end"":138,""text"":""озимая пшеница"",""labels"":[""plant""]},{""start"":280,""end"":287,""text"":""пшеница"",""labels"":[""plant""]},{""start"":378,""end"":392,""text"":""озимая пшеница"",""labels"":[""plant""]},{""start"":150,""end"":153,""text"":""215"",""labels"":[""perDay""]},{""start"":299,""end"":301,""text"":""22"",""labels"":[""perDay""]},{""start"":404,""end"":406,""text"":""45"",""labels"":[""perDay""]},{""start"":164,""end"":168,""text"":""1015"",""labels"":[""perOperation""]},{""start"":312,""end"":315,""text"":""627"",""labels"":[""perOperation""]},{""start"":417,""end"":421,""text"":""1907"",""labels"":[""perOperation""]}]",110.585,"пахота зяби под многолетние травы
по пу день 26 от начала 488
отделение 12 день 26 от начала 221

предпосевная культура под озимая пшеница
по пу день 215 от начала 1015
отделение 12 день 128 от начала 317
отделение 16 день 123 от начала 529

второе дискование сахарная свекла под пшеница
по пу день 22 от начала 627
отделение 11 день 22 от начала 217

второе дискование сои под озимая пшеница
по пу день 45 от начала 1907
отделение 12 день 45 от начала 299","2025-04-17T13:50:55.096137Z"
1,3,"1","2025-04-17T13:51:03.287932Z",414,"Пахота зяби под мн тр
По Пу 26/514
Отд 12 26/247

Пахота зяби под сою
По Пу 13/1351
Отд 16 13/731

Предп культ под оз пш
По Пу 56/1071
Отд 16 56/585

Дисков сах св
По Пу 85/870
Отд 17 85/168

2-е диск сах св под пш
По Пу 123/750
Отд 12 123/450

2-е диск сои под оз пш
По Пу 82/1989
Отд 11 82/993","[{""start"":34,""end"":36,""text"":""по"",""labels"":[""department""]},{""start"":118,""end"":120,""text"":""по"",""labels"":[""department""]},{""start"":224,""end"":226,""text"":""по"",""labels"":[""department""]},{""start"":316,""end"":318,""text"":""по"",""labels"":[""department""]},{""start"":426,""end"":428,""text"":""по"",""labels"":[""department""]},{""start"":533,""end"":535,""text"":""по"",""labels"":[""department""]},{""start"":0,""end"":11,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":98,""end"":109,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":183,""end"":204,""text"":""предпосевная культура"",""labels"":[""operation""]},{""start"":289,""end"":299,""text"":""дискование"",""labels"":[""operation""]},{""start"":380,""end"":413,""text"":""второе дискование сахарная свекла"",""labels"":[""operation""]},{""start"":492,""end"":513,""text"":""второе дискование сои"",""labels"":[""operation""]},{""start"":16,""end"":33,""text"":""многолетние травы"",""labels"":[""plant""]},{""start"":114,""end"":117,""text"":""сою"",""labels"":[""plant""]},{""start"":209,""end"":223,""text"":""озимая пшеница"",""labels"":[""plant""]},{""start"":45,""end"":47,""text"":""26"",""labels"":[""perDay""]},{""start"":129,""end"":131,""text"":""13"",""labels"":[""perDay""]},{""start"":235,""end"":237,""text"":""56"",""labels"":[""perDay""]},{""start"":327,""end"":329,""text"":""85"",""labels"":[""perDay""]},{""start"":437,""end"":440,""text"":""123"",""labels"":[""perDay""]},{""start"":544,""end"":546,""text"":""82"",""labels"":[""perDay""]},{""start"":58,""end"":61,""text"":""514"",""labels"":[""perOperation""]},{""start"":142,""end"":146,""text"":""1351"",""labels"":[""perOperation""]},{""start"":248,""end"":252,""text"":""1071"",""labels"":[""perOperation""]},{""start"":340,""end"":343,""text"":""870"",""labels"":[""perOperation""]},{""start"":451,""end"":454,""text"":""750"",""labels"":[""perOperation""]},{""start"":557,""end"":561,""text"":""1989"",""labels"":[""perOperation""]},{""start"":300,""end"":315,""text"":""сахарная свекла"",""labels"":[""plant""]},{""start"":418,""end"":425,""text"":""пшеница"",""labels"":[""plant""]},{""start"":518,""end"":532,""text"":""озимая пшеница"",""labels"":[""plant""]}]",195.456,"пахота зяби под многолетние травы
по пу день 26 от начала 514
отделение 12 день 26 от начала 247

пахота зяби под сою
по пу день 13 от начала 1351
отделение 16 день 13 от начала 731

предпосевная культура под озимая пшеница
по пу день 56 от начала 1071
отделение 16 день 56 от начала 585

дискование сахарная свекла
по пу день 85 от начала 870
отделение 17 день 85 от начала 168

второе дискование сахарная свекла под пшеница
по пу день 123 от начала 750
отделение 12 день 123 от начала 450

второе дискование сои под озимая пшеница
по пу день 82 от начала 1989
отделение 11 день 82 от начала 993","2025-04-17T13:51:03.287968Z"
2,4,"1","2025-04-17T13:52:10.721005Z",415,"Пахота зяби под сою
По Пу 29/1367
Отд 16 29/760

Предп культ под оз пш
По Пу 146/1217
Отд 11 146/233

Дисков сах св
По Пу 64/934
Отд 17 64/232

2-е диск сах св под пш
По Пу 25/775
Отд 12 25/475","[{""start"":20,""end"":22,""text"":""по"",""labels"":[""department""]},{""start"":126,""end"":128,""text"":""по"",""labels"":[""department""]},{""start"":220,""end"":222,""text"":""по"",""labels"":[""department""]},{""start"":330,""end"":332,""text"":""по"",""labels"":[""department""]},{""start"":0,""end"":11,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":85,""end"":106,""text"":""предпосевная культура"",""labels"":[""operation""]},{""start"":193,""end"":203,""text"":""дискование"",""labels"":[""operation""]},{""start"":284,""end"":317,""text"":""второе дискование сахарная свекла"",""labels"":[""operation""]},{""start"":16,""end"":19,""text"":""сою"",""labels"":[""plant""]},{""start"":111,""end"":125,""text"":""озимая пшеница"",""labels"":[""plant""]},{""start"":204,""end"":219,""text"":""сахарная свекла"",""labels"":[""plant""]},{""start"":322,""end"":329,""text"":""пшеница"",""labels"":[""plant""]},{""start"":31,""end"":33,""text"":""29"",""labels"":[""perDay""]},{""start"":137,""end"":140,""text"":""146"",""labels"":[""perDay""]},{""start"":231,""end"":233,""text"":""64"",""labels"":[""perDay""]},{""start"":341,""end"":343,""text"":""25"",""labels"":[""perDay""]},{""start"":44,""end"":48,""text"":""1367"",""labels"":[""perOperation""]},{""start"":151,""end"":155,""text"":""1217"",""labels"":[""perOperation""]},{""start"":244,""end"":247,""text"":""934"",""labels"":[""perOperation""]},{""start"":354,""end"":357,""text"":""775"",""labels"":[""perOperation""]}]",64.113,"пахота зяби под сою
по пу день 29 от начала 1367
отделение 16 день 29 от начала 760

предпосевная культура под озимая пшеница
по пу день 146 от начала 1217
отделение 11 день 146 от начала 233

дискование сахарная свекла
по пу день 64 от начала 934
отделение 17 день 64 от начала 232

второе дискование сахарная свекла под пшеница
по пу день 25 от начала 775
отделение 12 день 25 от начала 475","2025-04-17T13:52:10.721051Z"
3,5,"1","2025-04-17T13:52:48.575693Z",416,"12.10
Внесение мин удобрений под оз пшеницу 2025 г ПУ Юг 149/7264
Отд 17-149/1443","[{""start"":0,""end"":5,""text"":""12.10"",""labels"":[""data""]},{""start"":66,""end"":68,""text"":""юг"",""labels"":[""department""]},{""start"":6,""end"":36,""text"":""внесение минеральные удобрений"",""labels"":[""operation""]},{""start"":41,""end"":55,""text"":""озимая пшеницу"",""labels"":[""plant""]},{""start"":74,""end"":77,""text"":""149"",""labels"":[""perDay""]},{""start"":88,""end"":92,""text"":""7264"",""labels"":[""perOperation""]}]",30.535,"12.10
внесение минеральные удобрений под озимая пшеницу 2025 г пу юг день 149 от начала 7264
отделение 17 день 149 от начала 1443","2025-04-17T13:52:48.575723Z"
4,6,"1","2025-04-17T13:54:25.846032Z",417,"Пахота зяби под сою
По Пу 15/1382
Отд 16 15/775

Пахота зяби под мн тр
По Пу 13/527
Отд 12 13/260

2-е диск сои под пшен
По Пу 87/2076
Отд 12 87/386

2-е диск сах св под пш
По Пу 149/899
Отд 17 149/232

3-е диск подсол под пш
По Пу 47/949
Отд 11 47/47

Предп культ под оз пш
По Пу 95/1312
Отд 11 95/328","[{""start"":20,""end"":22,""text"":""по"",""labels"":[""department""]},{""start"":119,""end"":121,""text"":""по"",""labels"":[""department""]},{""start"":217,""end"":219,""text"":""по"",""labels"":[""department""]},{""start"":328,""end"":330,""text"":""по"",""labels"":[""department""]},{""start"":428,""end"":430,""text"":""по"",""labels"":[""department""]},{""start"":532,""end"":534,""text"":""по"",""labels"":[""department""]},{""start"":0,""end"":11,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":85,""end"":96,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":183,""end"":204,""text"":""второе дискование сои"",""labels"":[""operation""]},{""start"":282,""end"":315,""text"":""второе дискование сахарная свекла"",""labels"":[""operation""]},{""start"":394,""end"":415,""text"":""3 е дискование подсол"",""labels"":[""operation""]},{""start"":491,""end"":512,""text"":""предпосевная культура"",""labels"":[""operation""]},{""start"":16,""end"":19,""text"":""сою"",""labels"":[""plant""]},{""start"":101,""end"":118,""text"":""многолетние травы"",""labels"":[""plant""]},{""start"":209,""end"":216,""text"":""пшеница"",""labels"":[""plant""]},{""start"":320,""end"":327,""text"":""пшеница"",""labels"":[""plant""]},{""start"":420,""end"":427,""text"":""пшеница"",""labels"":[""plant""]},{""start"":517,""end"":531,""text"":""озимая пшеница"",""labels"":[""plant""]},{""start"":31,""end"":33,""text"":""15"",""labels"":[""perDay""]},{""start"":130,""end"":132,""text"":""13"",""labels"":[""perDay""]},{""start"":228,""end"":230,""text"":""87"",""labels"":[""perDay""]},{""start"":339,""end"":342,""text"":""149"",""labels"":[""perDay""]},{""start"":439,""end"":441,""text"":""47"",""labels"":[""perDay""]},{""start"":543,""end"":545,""text"":""95"",""labels"":[""perDay""]},{""start"":44,""end"":48,""text"":""1382"",""labels"":[""perOperation""]},{""start"":143,""end"":146,""text"":""527"",""labels"":[""perOperation""]},{""start"":241,""end"":245,""text"":""2076"",""labels"":[""perOperation""]},{""start"":353,""end"":356,""text"":""899"",""labels"":[""perOperation""]},{""start"":452,""end"":455,""text"":""949"",""labels"":[""perOperation""]},{""start"":556,""end"":560,""text"":""1312"",""labels"":[""perOperation""]}]",93.498,"пахота зяби под сою
по пу день 15 от начала 1382
отделение 16 день 15 от начала 775

пахота зяби под многолетние травы
по пу день 13 от начала 527
отделение 12 день 13 от начала 260

второе дискование сои под пшеница
по пу день 87 от начала 2076
отделение 12 день 87 от начала 386

второе дискование сахарная свекла под пшеница
по пу день 149 от начала 899
отделение 17 день 149 от начала 232

3 е дискование подсол под пшеница
по пу день 47 от начала 949
отделение 11 день 47 от начала 47

предпосевная культура под озимая пшеница
по пу день 95 от начала 1312
отделение 11 день 95 от начала 328","2025-04-17T13:54:25.846077Z"
5,7,"1","2025-04-17T13:55:26.579671Z",418,"Пахота зяби под мн тр
По Пу 13/540
Отд 12 13/273

Диск сах св
По Пу 70/1004
Отд 17 70/302

Предп культ под оз пш
По Пу 91/1403
Отд 11 45/373
Отд 12 46/363","[{""start"":34,""end"":36,""text"":""по"",""labels"":[""department""]},{""start"":125,""end"":127,""text"":""по"",""labels"":[""department""]},{""start"":231,""end"":233,""text"":""по"",""labels"":[""department""]},{""start"":0,""end"":11,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":98,""end"":108,""text"":""дискование"",""labels"":[""operation""]},{""start"":190,""end"":211,""text"":""предпосевная культура"",""labels"":[""operation""]},{""start"":16,""end"":33,""text"":""многолетние травы"",""labels"":[""plant""]},{""start"":109,""end"":124,""text"":""сахарная свекла"",""labels"":[""plant""]},{""start"":216,""end"":230,""text"":""озимая пшеница"",""labels"":[""plant""]},{""start"":45,""end"":47,""text"":""13"",""labels"":[""perDay""]},{""start"":136,""end"":138,""text"":""70"",""labels"":[""perDay""]},{""start"":242,""end"":244,""text"":""91"",""labels"":[""perDay""]},{""start"":58,""end"":61,""text"":""540"",""labels"":[""perOperation""]},{""start"":149,""end"":153,""text"":""1004"",""labels"":[""perOperation""]},{""start"":255,""end"":259,""text"":""1403"",""labels"":[""perOperation""]}]",57.045,"пахота зяби под многолетние травы
по пу день 13 от начала 540
отделение 12 день 13 от начала 273

дискование сахарная свекла
по пу день 70 от начала 1004
отделение 17 день 70 от начала 302

предпосевная культура под озимая пшеница
по пу день 91 от начала 1403
отделение 11 день 45 от начала 373
отделение 12 день 46 от начала 363","2025-04-17T13:55:26.579709Z"
6,8,"1","2025-04-17T13:55:55.479209Z",419,"15.10
Внесение мин удобрений под оз пшеницу ПУ Юг 117/7381
Отд 17-117/1560","[{""start"":0,""end"":5,""text"":""15.10"",""labels"":[""data""]},{""start"":59,""end"":61,""text"":""юг"",""labels"":[""department""]},{""start"":6,""end"":36,""text"":""внесение минеральные удобрений"",""labels"":[""operation""]},{""start"":41,""end"":55,""text"":""озимая пшеницу"",""labels"":[""plant""]},{""start"":67,""end"":70,""text"":""117"",""labels"":[""perDay""]},{""start"":81,""end"":85,""text"":""7381"",""labels"":[""perOperation""]}]",26.503,"15.10
внесение минеральные удобрений под озимая пшеницу пу юг день 117 от начала 7381
отделение 17 день 117 от начала 1560","2025-04-17T13:55:55.479235Z"
7,9,"1","2025-04-17T13:56:40.754207Z",420,"15.10
Внесение противозлакового гербецида на оз рапсе ПУ Юг 88/384
Отд 12- 88/325","[{""start"":0,""end"":5,""text"":""15.10"",""labels"":[""data""]},{""start"":61,""end"":63,""text"":""юг"",""labels"":[""department""]},{""start"":6,""end"":41,""text"":""внесение противозлакового гербецида"",""labels"":[""operation""]},{""start"":45,""end"":57,""text"":""озимая рапсе"",""labels"":[""plant""]},{""start"":69,""end"":71,""text"":""88"",""labels"":[""perDay""]},{""start"":82,""end"":85,""text"":""384"",""labels"":[""perOperation""]}]",27.149,"15.10
внесение противозлакового гербецида на озимая рапсе пу юг день 88 от начала 384
отделение 12 день 88 от начала 325","2025-04-17T13:56:40.754233Z"
8,10,"1","2025-04-17T13:58:01.504996Z",421,"Пахота зяби под мн тр
По Пу 26/566
Отд 12 26/299

Предп культ под оз пш
По Пу 247/1650
Отд 11 161/534
Отд 12 86/449

Диск сах св
По Пу 47/1051
Отд 17 47/349

2-е диск сах св под пш
По Пу 23/922
Отд 17 23/255

Выравн зяби под мн тр
По Пу 48/337
Отд 12 48/70","[{""start"":34,""end"":36,""text"":""по"",""labels"":[""department""]},{""start"":139,""end"":141,""text"":""по"",""labels"":[""department""]},{""start"":268,""end"":270,""text"":""по"",""labels"":[""department""]},{""start"":379,""end"":381,""text"":""по"",""labels"":[""department""]},{""start"":483,""end"":485,""text"":""по"",""labels"":[""department""]},{""start"":0,""end"":11,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":98,""end"":119,""text"":""предпосевная культура"",""labels"":[""operation""]},{""start"":241,""end"":251,""text"":""дискование"",""labels"":[""operation""]},{""start"":333,""end"":366,""text"":""второе дискование сахарная свекла"",""labels"":[""operation""]},{""start"":443,""end"":460,""text"":""выравнивание зяби"",""labels"":[""operation""]},{""start"":16,""end"":33,""text"":""многолетние травы"",""labels"":[""plant""]},{""start"":124,""end"":138,""text"":""озимая пшеница"",""labels"":[""plant""]},{""start"":252,""end"":267,""text"":""сахарная свекла"",""labels"":[""plant""]},{""start"":371,""end"":378,""text"":""пшеница"",""labels"":[""plant""]},{""start"":465,""end"":482,""text"":""многолетние травы"",""labels"":[""plant""]},{""start"":45,""end"":47,""text"":""26"",""labels"":[""perDay""]},{""start"":150,""end"":153,""text"":""247"",""labels"":[""perDay""]},{""start"":279,""end"":281,""text"":""47"",""labels"":[""perDay""]},{""start"":390,""end"":392,""text"":""23"",""labels"":[""perDay""]},{""start"":494,""end"":496,""text"":""48"",""labels"":[""perDay""]},{""start"":58,""end"":61,""text"":""566"",""labels"":[""perOperation""]},{""start"":164,""end"":168,""text"":""1650"",""labels"":[""perOperation""]},{""start"":292,""end"":296,""text"":""1051"",""labels"":[""perOperation""]},{""start"":403,""end"":406,""text"":""922"",""labels"":[""perOperation""]},{""start"":507,""end"":510,""text"":""337"",""labels"":[""perOperation""]}]",77.267,"пахота зяби под многолетние травы
по пу день 26 от начала 566
отделение 12 день 26 от начала 299

предпосевная культура под озимая пшеница
по пу день 247 от начала 1650
отделение 11 день 161 от начала 534
отделение 12 день 86 от начала 449

дискование сахарная свекла
по пу день 47 от начала 1051
отделение 17 день 47 от начала 349

второе дискование сахарная свекла под пшеница
по пу день 23 от начала 922
отделение 17 день 23 от начала 255

выравнивание зяби под многолетние травы
по пу день 48 от начала 337
отделение 12 день 48 от начала 70","2025-04-17T13:58:01.505035Z"
9,11,"1","2025-04-17T13:58:48.169510Z",422,"Пахота зяби под мн тр
По Пу 13/579
Отд 12 13/312

2-е дисков сах св
По Пу 35/957
Отд 17 35/290

Выравн зяби под мн тр
По Пу 101/438
Отд 12 101/171","[{""start"":34,""end"":36,""text"":""по"",""labels"":[""department""]},{""start"":132,""end"":134,""text"":""по"",""labels"":[""department""]},{""start"":236,""end"":238,""text"":""по"",""labels"":[""department""]},{""start"":0,""end"":11,""text"":""пахота зяби"",""labels"":[""operation""]},{""start"":98,""end"":115,""text"":""второе дискование"",""labels"":[""operation""]},{""start"":196,""end"":213,""text"":""выравнивание зяби"",""labels"":[""operation""]},{""start"":16,""end"":33,""text"":""многолетние травы"",""labels"":[""plant""]},{""start"":116,""end"":131,""text"":""сахарная свекла"",""labels"":[""plant""]},{""start"":218,""end"":235,""text"":""многолетние травы"",""labels"":[""plant""]},{""start"":45,""end"":47,""text"":""13"",""labels"":[""perDay""]},{""start"":143,""end"":145,""text"":""35"",""labels"":[""perDay""]},{""start"":247,""end"":250,""text"":""101"",""labels"":[""perDay""]},{""start"":58,""end"":61,""text"":""579"",""labels"":[""perOperation""]},{""start"":156,""end"":159,""text"":""957"",""labels"":[""perOperation""]},{""start"":261,""end"":264,""text"":""438"",""labels"":[""perOperation""]}]",44.246,"пахота зяби под многолетние травы
по пу день 13 от начала 579
отделение 12 день 13 от начала 312

второе дискование сахарная свекла
по пу день 35 от начала 957
отделение 17 день 35 от начала 290

выравнивание зяби под многолетние травы
по пу день 101 от начала 438
отделение 12 день 101 от начала 171","2025-04-17T13:58:48.169546Z"
