,initial,postproc_data
0,"Пахота зяби под мн тр
По Пу 26/488
Отд 12 26/221

Предп культ под оз пш
По Пу 215/1015
Отд 12 128/317
Отд 16 123/529

2-е диск сах св под пш
По Пу 22/627
Отд 11 22/217

2-е диск сои под оз пш
По Пу 45/1907
Отд 12 45/299","пахота зяби под многолетние травы
по пу день 26 от начала 488
отделение 12 день 26 от начала 221

предпосевная культура под озимая пшеница
по пу день 215 от начала 1015
отделение 12 день 128 от начала 317
отделение 16 день 123 от начала 529

второе дискование сахарная свекла под пшеница
по пу день 22 от начала 627
отделение 11 день 22 от начала 217

второе дискование сои под озимая пшеница
по пу день 45 от начала 1907
отделение 12 день 45 от начала 299"
1,"Пахота зяби под мн тр
По Пу 26/514
Отд 12 26/247

Пахота зяби под сою
По Пу 13/1351
Отд 16 13/731

Предп культ под оз пш
По Пу 56/1071
Отд 16 56/585

Дисков сах св
По Пу 85/870
Отд 17 85/168

2-е диск сах св под пш
По Пу 123/750
Отд 12 123/450

2-е диск сои под оз пш
По Пу 82/1989
Отд 11 82/993","пахота зяби под многолетние травы
по пу день 26 от начала 514
отделение 12 день 26 от начала 247

пахота зяби под сою
по пу день 13 от начала 1351
отделение 16 день 13 от начала 731

предпосевная культура под озимая пшеница
по пу день 56 от начала 1071
отделение 16 день 56 от начала 585

дискование сахарная свекла
по пу день 85 от начала 870
отделение 17 день 85 от начала 168

второе дискование сахарная свекла под пшеница
по пу день 123 от начала 750
отделение 12 день 123 от начала 450

второе дискование сои под озимая пшеница
по пу день 82 от начала 1989
отделение 11 день 82 от начала 993"
2,"Пахота зяби под сою
По Пу 29/1367
Отд 16 29/760

Предп культ под оз пш
По Пу 146/1217
Отд 11 146/233

Дисков сах св
По Пу 64/934
Отд 17 64/232

2-е диск сах св под пш
По Пу 25/775
Отд 12 25/475","пахота зяби под сою
по пу день 29 от начала 1367
отделение 16 день 29 от начала 760

предпосевная культура под озимая пшеница
по пу день 146 от начала 1217
отделение 11 день 146 от начала 233

дискование сахарная свекла
по пу день 64 от начала 934
отделение 17 день 64 от начала 232

второе дискование сахарная свекла под пшеница
по пу день 25 от начала 775
отделение 12 день 25 от начала 475"
3,"12.10
Внесение мин удобрений под оз пшеницу 2025 г ПУ Юг 149/7264
Отд 17-149/1443","12.10
внесение минеральные удобрений под озимая пшеницу 2025 г пу юг день 149 от начала 7264
отделение 17 день 149 от начала 1443"
4,"Пахота зяби под сою
По Пу 15/1382
Отд 16 15/775

Пахота зяби под мн тр
По Пу 13/527
Отд 12 13/260

2-е диск сои под пшен
По Пу 87/2076
Отд 12 87/386

2-е диск сах св под пш
По Пу 149/899
Отд 17 149/232

3-е диск подсол под пш
По Пу 47/949
Отд 11 47/47

Предп культ под оз пш
По Пу 95/1312
Отд 11 95/328","пахота зяби под сою
по пу день 15 от начала 1382
отделение 16 день 15 от начала 775

пахота зяби под многолетние травы
по пу день 13 от начала 527
отделение 12 день 13 от начала 260

второе дискование сои под пшеница
по пу день 87 от начала 2076
отделение 12 день 87 от начала 386

второе дискование сахарная свекла под пшеница
по пу день 149 от начала 899
отделение 17 день 149 от начала 232

3 е дискование подсол под пшеница
по пу день 47 от начала 949
отделение 11 день 47 от начала 47

предпосевная культура под озимая пшеница
по пу день 95 от начала 1312
отделение 11 день 95 от начала 328"
5,"Пахота зяби под мн тр
По Пу 13/540
Отд 12 13/273

Диск сах св
По Пу 70/1004
Отд 17 70/302

Предп культ под оз пш
По Пу 91/1403
Отд 11 45/373
Отд 12 46/363","пахота зяби под многолетние травы
по пу день 13 от начала 540
отделение 12 день 13 от начала 273

дискование сахарная свекла
по пу день 70 от начала 1004
отделение 17 день 70 от начала 302

предпосевная культура под озимая пшеница
по пу день 91 от начала 1403
отделение 11 день 45 от начала 373
отделение 12 день 46 от начала 363"
6,"15.10
Внесение мин удобрений под оз пшеницу ПУ Юг 117/7381
Отд 17-117/1560","15.10
внесение минеральные удобрений под озимая пшеницу пу юг день 117 от начала 7381
отделение 17 день 117 от начала 1560"
7,"15.10
Внесение противозлакового гербецида на оз рапсе ПУ Юг 88/384
Отд 12- 88/325","15.10
внесение противозлакового гербецида на озимая рапсе пу юг день 88 от начала 384
отделение 12 день 88 от начала 325"
8,"Пахота зяби под мн тр
По Пу 26/566
Отд 12 26/299

Предп культ под оз пш
По Пу 247/1650
Отд 11 161/534
Отд 12 86/449

Диск сах св
По Пу 47/1051
Отд 17 47/349

2-е диск сах св под пш
По Пу 23/922
Отд 17 23/255

Выравн зяби под мн тр
По Пу 48/337
Отд 12 48/70","пахота зяби под многолетние травы
по пу день 26 от начала 566
отделение 12 день 26 от начала 299

предпосевная культура под озимая пшеница
по пу день 247 от начала 1650
отделение 11 день 161 от начала 534
отделение 12 день 86 от начала 449

дискование сахарная свекла
по пу день 47 от начала 1051
отделение 17 день 47 от начала 349

второе дискование сахарная свекла под пшеница
по пу день 23 от начала 922
отделение 17 день 23 от начала 255

выравнивание зяби под многолетние травы
по пу день 48 от начала 337
отделение 12 день 48 от начала 70"
9,"Пахота зяби под мн тр
По Пу 13/579
Отд 12 13/312

2-е дисков сах св
По Пу 35/957
Отд 17 35/290

Выравн зяби под мн тр
По Пу 101/438
Отд 12 101/171","пахота зяби под многолетние травы
по пу день 13 от начала 579
отделение 12 день 13 от начала 312

второе дискование сахарная свекла
по пу день 35 от начала 957
отделение 17 день 35 от начала 290

выравнивание зяби под многолетние травы
по пу день 101 от начала 438
отделение 12 день 101 от начала 171"
